"shop_id","mean_lo","mean_la"
"s_1000261",119.83282825,26.6821393333333
"s_1002478",117.364762965517,40.6665543103448
"s_1003165",122.139215517857,39.8232295892857
"s_1005034",121.963242960159,31.6534728247012
"s_1005343",104.440996414634,31.3630273871951
"s_10076",119.875437739541,32.754909705803
"s_1009782",119.003167987179,31.6873595598291
"s_1010498",115.08943278125,30.690279125
"s_101080",119.044315454545,25.2055528409091
"s_101108",115.195814135593,38.5416662033898
"s_101222",121.326941666667,31.7765546666667
"s_10124",114.330657507937,23.3070455238095
"s_1014806",120.588109,34.159412
"s_1015488",114.475133603015,31.0824704572864
"s_101578",121.193580571429,31.7997958367347
"s_1016621",123.799096111111,42.3672347777778
"s_1017",118.728151586271,32.4514600018553
"s_1018462",119.19537,32.4244055
"s_1018881",118.046880631579,31.8914940842105
"s_1019158",106.964187625,29.7932995
"s_1022130",119.628753436242,26.7462238456376
"s_1023",109.093365481928,34.3963725963855
"s_1023891",104.41523695189,31.2864994639175
"s_1025488",113.564077184783,23.157863576087
"s_1025732",117.702239333333,35.1322316321839
"s_1025764",122.594655983607,31.5819764508197
"s_10269",115.298440925926,37.5760205925926
"s_1027638",120.353346822464,32.3505440905797
"s_1027669",118.191506242424,32.8559015909091
"s_102875",120.611193285714,34.0558571428571
"s_10288",123.801379943038,42.3671665632911
"s_1029604",114.831198990654,31.234047588785
"s_1030053",120.330975483146,32.3295870337079
"s_1030148",122.00181965,31.5166182
"s_1030512",122.308558105263,32.0873798421053
"s_1033403",114.435801777778,23.5593845555556
"s_1035004",112.324754551363,32.6869505199161
"s_1036094",106.964054317073,29.7959028292683
"s_1036979",119.8651094,26.6583621333333
"s_103705",122.177907963636,38.4285120727273
"s_1037091",122.272554314286,37.9800700571429
"s_1037773",121.494252,32.0815129047619
"s_1038147",117.270689666667,34.8577483333333
"s_1038683",120.354665777778,32.3506585555556
"s_1038685",120.330007731343,32.3295015671642
"s_1039474",113.789052866667,23.8314326666667
"s_10400",115.450290756098,38.7560470853659
"s_10402",120.493777678161,36.4558758850575
"s_1040819",115.19398575,38.540501
"s_1040968",118.205609229167,24.7833613125
"s_10413",117.364025838509,40.6382985093168
"s_10425",122.141020101974,39.8189944309211
"s_1042777",117.270694171171,34.8577614054054
"s_1044314",117.270591983871,34.8572807419355
"s_1044393",118.048352041096,31.8916911506849
"s_1044992",114.331441,23.304865
"s_1047760",115.194861795082,38.5407819918033
"s_1049353",117.913683370787,39.589809494382
"s_1049765",114.518302583333,30.91220675
"s_1049799",117.270576625,34.8570148333333
"s_1050950",104.817205858491,30.9715697830189
"s_1051498",112.325026137931,32.688127
"s_1052154",117.270702340909,34.8578087272727
"s_1053132",115.2995358,37.5766392
"s_1053858",109.093566813765,34.3962968421053
"s_1053861",117.270609621622,34.8562157027027
"s_10539",117.914259164706,39.5891028529412
"s_1054849",117.270917,34.858167
"s_1056282",117.271038617647,34.8581618176471
"s_1056434",117.270708137546,34.857693795539
"s_1057081",114.332302777778,23.3059256666667
"s_1057642",120.331068,32.328929
"s_10579",120.406260758755,33.3368304280156
"s_1059159",111.339903153271,31.2168853476636
"s_1060331",117.270482891304,34.8570387536232
